"","X.1","X","id","first_name","last_name","gender","height","weight","zombies_killed","years_of_education","major","age"
"1",1,1,1,"Sarah","Little","Female",62.8895067300625,132.087165462953,2,1,"medicine/nursing",17.6427451814542
"2",2,2,2,"Mark","Duncan","Male",67.8027660177502,146.375292507379,5,3,"criminal justice administration",22.5895131926107
"3",3,3,3,"Brandon","Perez","Male",72.1290845650452,152.937021644655,1,1,"education",21.912760239412
"4",4,4,4,"Roger","Coleman","Male",66.7848402104796,129.741805005538,5,6,"energy studies",18.1905820661586
"5",5,5,5,"Tammy","Powell","Female",64.7183203451803,132.426492128128,4,3,"logistics",21.1039859075319
"6",6,6,6,"Anthony","Green","Male",71.2432629502951,152.52457932356,1,4,"energy studies",21.4835532680091
"7",7,7,7,"Theresa","Hamilton","Female",70.2645946672733,160.256896542058,0,4,"psychology",20.5309617910247
"8",8,8,8,"Phyllis","Jenkins","Female",59.8276006724072,108.809309744326,4,0,"botany",15.9452748132089
"9",9,9,9,"Steven","Long","Male",68.5996317337336,152.901545098573,9,3,"communication",17.3493257895458
"10",10,10,10,"Russell","Chavez","Male",72.8176851919164,168.561641670406,2,3,"military strategy",21.5079784422712
"11",11,11,11,"Matthew","Fuller","Male",70.6656513454092,149.283364248756,4,4,"logistics",24.1586145054192
"12",12,12,12,"Adam","Elliott","Male",71.5809346280328,157.353961619195,4,3,"energy studies",20.2479373887583
"13",13,13,13,"Alan","Olson","Male",66.6970050194572,133.644105063673,2,1,"economics",18.5992902327428
"14",14,14,14,"Louise","Hall","Female",65.8874656052108,131.533634009676,5,5,"mechanical engineering",19.2167020030924
"15",15,15,15,"Donald","Murray","Male",65.6630582564409,121.283343005318,4,5,"physical education",20.909864730278
"16",16,16,16,"James","Nelson","Male",67.5401588054562,143.906086161191,2,2,"philosophy",19.859825157012
"17",17,17,17,"Peter","Perkins","Male",72.2360842034004,171.023470406272,5,1,"psychology",18.7489692411299
"18",18,18,18,"Anne","Garza","Female",62.7443529436619,127.114487776731,3,5,"criminal justice administration",19.5813398103897
"19",19,19,19,"Jose","Ramirez","Male",74.7586931548012,145.546792082612,2,1,"economics",23.9653912121584
"20",20,20,20,"Sarah","Weaver","Female",63.1710434114488,123.21773328738,1,5,"military strategy",21.80444724348
"21",21,21,21,"Denise","Richards","Female",62.4008329487293,120.794957875817,3,1,"medicine/nursing",23.9405362654232
"22",22,22,22,"Jean","Harris","Female",63.3265770805975,129.714930701505,1,2,"communication",21.3323579248065
"23",23,23,23,"Adam","Johnston","Male",72.7869940389926,160.782604980709,0,5,"biology",20.9438271831324
"24",24,24,24,"Gregory","Taylor","Male",68.4055229955061,151.495591247493,3,3,"applied sciences",21.6919552208524
"25",25,25,25,"Lawrence","Phillips","Male",74.4776045825469,163.646355509107,8,0,"animal husbandry",23.9018528944803
"26",26,26,26,"Cheryl","Sanders","Female",66.2136086617962,147.589132584554,1,3,"agricultural sciences",18.8252738829318
"27",27,27,27,"Annie","Warren","Female",64.2757607390851,122.735873329333,1,2,"medicine/nursing",21.0745093740393
"28",28,28,28,"Patrick","Sanders","Male",66.1165670405694,128.031771614632,1,2,"agricultural sciences",18.6100708373889
"29",29,29,29,"Roger","Perry","Male",64.6434071106736,135.925439823909,4,2,"animal husbandry",17.7422176296828
"30",30,30,30,"Janice","Stevens","Female",69.1440085292932,149.177562578267,1,1,"economics",23.7636583032704
"31",31,31,31,"Robin","Adams","Female",64.4370937180334,134.945101694235,1,1,"military strategy",19.7105740911427
"32",32,32,32,"Jeremy","Banks","Male",70.9972568173648,158.827746258401,1,0,"culinart services",20.3434728282282
"33",33,33,33,"Patrick","Price","Male",70.0884661422608,168.287551430535,3,2,"logistics",18.672331722568
"34",34,34,34,"Lawrence","Richards","Male",71.1484212074987,167.405550242551,2,2,"city planning",19.5599697114352
"35",35,35,35,"Emily","Shaw","Female",64.6984557025996,143.587847497051,5,4,"integrated water resources management",18.136839679899
"36",36,36,36,"Walter","Carpenter","Male",70.9014275216626,142.731957311085,3,2,"physical education",23.980107345607
"37",37,37,37,"Jessica","Marshall","Female",67.1755459120609,149.538595841958,8,4,"applied sciences",18.7485355291613
"38",38,38,38,"Tina","Wood","Female",67.5327814505062,147.950514255423,1,3,"mechanical engineering",19.5352609599571
"39",39,39,39,"William","Wood","Male",69.3177830143703,150.372423893985,3,3,"botany",22.4656079582185
"40",40,40,40,"Jose","Oliver","Male",69.894467516483,167.486173309522,8,6,"botany",20.4024217450608
"41",41,41,41,"Maria","Hughes","Female",66.1453596867992,149.300823936116,7,3,"biology",20.7845534823197
"42",42,42,42,"Scott","Tucker","Male",68.9324609056346,144.963325224502,7,4,"medicine/nursing",21.295834747937
"43",43,43,43,"Douglas","Smith","Male",74.2346839479211,200.725185094691,7,2,"biology",18.7872231073758
"44",44,44,44,"Shawn","Harris","Male",66.9053372293897,132.551845660817,1,3,"pharmacology",19.6235063478913
"45",45,45,45,"Christina","Clark","Female",66.883200168962,124.594447930611,3,1,"philosophy",20.9105343212012
"46",46,46,46,"Maria","Hudson","Female",65.8021673216008,139.415374305286,2,3,"criminal justice administration",18.8475394439293
"47",47,47,47,"Roy","Hall","Male",66.1416446189069,142.936767515726,7,1,"mechanical engineering",18.5006490909785
"48",48,48,48,"Carol","Oliver","Female",64.309276207244,143.920036026666,2,1,"energy studies",16.5592389504018
"49",49,49,49,"Heather","Gordon","Female",63.5324944022453,135.506571902196,2,7,"agricultural sciences",17.9851951204667
"50",50,50,50,"Judith","Lopez","Female",62.3246177158782,120.789011417276,6,2,"psychology",20.2961935369064
"51",51,51,51,"George","Pierce","Male",67.9795169631332,151.088722520046,6,2,"logistics",20.1101727533688
"52",52,52,52,"Andrea","Cole","Female",60.6665071404599,103.64308817575,2,0,"philosophy",21.2761555250703
"53",53,53,53,"Angela","Brooks","Female",64.1581745997947,127.110005195064,1,3,"animal husbandry",15.7708330315641
"54",54,54,54,"Marie","Butler","Female",62.42482512001,140.525032643921,1,0,"medicine/nursing",18.2976973487399
"55",55,55,55,"Bobby","Reyes","Male",71.7538988473941,158.995502974552,3,4,"agricultural sciences",21.8569492272976
"56",56,56,56,"Theresa","Payne","Female",68.3039820762871,154.162745116003,7,3,"criminal justice administration",20.9382812160408
"57",57,57,57,"Ruth","Perry","Female",62.1242536322006,120.614124076737,3,4,"integrated water resources management",21.1468492380214
"58",58,58,58,"Jacqueline","Greene","Female",65.2911513606647,127.045851965794,5,2,"communication",20.2461506171084
"59",59,59,59,"Rebecca","Price","Female",69.0402745523375,159.695052513666,6,6,"education",21.7243311336486
"60",60,60,60,"Douglas","Murray","Male",70.398671885529,144.286224755721,3,1,"environmental science",23.3056301384048
"61",61,61,61,"Heather","Reed","Female",68.1698751907795,148.752514098366,4,2,"city planning",22.0254779375918
"62",62,62,62,"Jason","Bowman","Male",67.6023323286082,145.23084120954,3,2,"education",19.9704795819264
"63",63,63,63,"Arthur","Vasquez","Male",63.163991601088,126.609094874692,1,3,"human services",16.7866906810821
"64",64,64,64,"Harold","Morris","Male",67.4363127736964,153.633399084978,1,3,"psychology",20.9467114739422
"65",65,65,65,"Gary","Morris","Male",72.9879243770015,154.545224068209,4,0,"education",19.815334933523
"66",66,66,66,"Jose","Barnes","Male",66.5292428481116,153.961881195426,3,1,"mechanical engineering",16.4067798914579
"67",67,67,67,"Brian","Coleman","Male",73.06538862728,176.78867904677,1,3,"energy studies",19.1835413783412
"68",68,68,68,"Julie","Armstrong","Female",67.0539333025913,138.769234885234,1,4,"criminal justice administration",20.4206831700374
"69",69,69,69,"Lawrence","Berry","Male",67.1731904530103,137.097907192263,1,2,"culinart services",20.8164305837761
"70",70,70,70,"Mildred","Graham","Female",59.5756117079675,106.903846380355,3,3,"environmental science",18.2747340113782
"71",71,71,71,"Cheryl","Andrews","Female",72.299865161816,168.094644458101,2,3,"biology",23.2329918474195
"72",72,72,72,"Rose","Gray","Female",69.4249169233363,148.18215968967,4,2,"epidemiology",22.4217248830346
"73",73,73,73,"Arthur","Chapman","Male",67.3059729164175,152.908252969341,3,2,"criminal justice administration",16.3190511109173
"74",74,74,74,"Lillian","Wood","Female",67.9125554217259,140.223232898903,4,5,"botany",20.7766691114676
"75",75,75,75,"Nicole","Perry","Female",64.3437815560944,135.904003152621,2,2,"biology",14.5494363671532
"76",76,76,76,"Ralph","Lawrence","Male",76.1827510360728,156.852811535791,3,3,"biology",23.7675664280242
"77",77,77,77,"Angela","Wallace","Female",70.2135195827454,157.775979181247,3,5,"physical education",21.0211796206266
"78",78,78,78,"Janet","Ortiz","Female",67.4227973034851,155.745779515772,0,2,"pharmacology",15.12526804374
"79",79,79,79,"Phillip","King","Male",70.3508974842548,158.271753292864,4,2,"epidemiology",21.0916375336263
"80",80,80,80,"Stephen","Chavez","Male",70.9076900731557,165.942311079954,1,2,"logistics",21.7302058368433
"81",81,81,81,"Samuel","Ellis","Male",64.1236352552009,136.039590751726,1,1,"environmental science",14.5115806072582
"82",82,82,82,"Joan","Parker","Female",67.254905824568,138.288115996754,2,2,"human services",21.8037989292493
"83",83,83,83,"Karen","Reyes","Female",64.1975130011489,127.907187958424,4,4,"human services",18.2735922584705
"84",84,84,84,"Frances","Cunningham","Female",70.284437756803,149.563687013471,3,6,"applied sciences",23.2453156852433
"85",85,85,85,"Anthony","Burton","Male",69.0952849338272,162.667886935261,3,3,"animal husbandry",15.5975287917223
"86",86,86,86,"Arthur","Reed","Male",67.5495352072931,142.314974927875,4,2,"animal husbandry",16.5184172541561
"87",87,87,87,"Martin","Russell","Male",74.378366727155,171.019398669771,6,4,"energy studies",22.3246596505136
"88",88,88,88,"Phyllis","Wheeler","Female",58.7431789586265,109.611117432488,2,3,"communication",16.4728287730335
"89",89,89,89,"Melissa","Porter","Female",59.7438997407851,118.616196779799,2,5,"energy studies",18.3426777607284
"90",90,90,90,"Janice","Willis","Female",70.5580328035598,162.395074718346,3,3,"applied sciences",21.932533017871
"91",91,91,91,"Justin","Murphy","Male",65.8529641547035,145.231348485859,5,3,"logistics",16.7441783933316
"92",92,92,92,"Alan","Ramos","Male",65.0494057796112,149.880376477679,4,1,"culinart services",15.1880439854548
"93",93,93,93,"Gary","Diaz","Male",72.3811826276663,172.653976814149,9,4,"business administration",22.4093565622598
"94",94,94,94,"Keith","Sullivan","Male",64.323868140146,116.80429367189,3,3,"energy studies",17.0891258417717
"95",95,95,95,"Wayne","Collins","Male",66.9246922002787,138.422190406687,4,4,"physical education",18.0370663973651
"96",96,96,96,"Johnny","Cook","Male",69.0541746043143,155.822050373749,1,3,"communication",18.8380983673922
